X,id,idLink,region,site,LandUse,SoilOrder,Year,pH,totalC,totalN,AMN,OlsenP_LR,OlsenP_Hills,bulkDensity,macroporosity-m05,macroporosity-m10,macroporositymin,macroporositymax,soillanduse,pHmin,pHmax,OlsenPmin,OlsenPmax,bulkDensitymin,bulkDensitymax,AMNmin,TotalNmin,TotalNmax,TotalCmin,OlsenP,macroporosity,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS
1,1,1,Auckland,Auckland /1,Drystock,Gley,2010,5.55,8.022,0.749,333.333,34.409,,0.93,1,5.3,10,30,Gley/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,34.409,5.3,within,within,below,within,within,above,within,above,below
2,204,1,Auckland,Auckland /1,Drystock,Gley,2000,5.5,6.562,0.555,250.579,42,,0.84,10.433,12.333,10,30,Gley/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,42,12.333,within,within,within,within,within,within,within,within,within
3,145,2,Auckland,Auckland /2,Drystock,Granular,1998,5.88,6.59,0.572,122.826,11.739,,0.92,12.8,14.233,10,30,Granular/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,11.739,14.233,within,within,within,below,within,within,within,within,within
4,3,3,Auckland,Auckland/3,Drystock,Ultic,2010,5.94,5.5,0.499,155.769,20.192,,1.04,4.5,7.1,10,30,Ultic/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,20.192,7.1,within,within,below,within,within,within,within,within,below
5,4,4,Auckland,Auckland /4,Drystock,Brown,2010,5.78,4.276,0.429,117.886,47.154,,1.23,0.5,4.2,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,47.154,4.2,within,within,below,above,within,within,within,within,below
6,5,5,Auckland,Auckland/5,Drystock,Ultic,2010,6.3,9.151,0.896,271.233,34.247,,0.73,5.8,8.5,10,30,Ultic/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,34.247,8.5,within,within,below,within,within,above,within,above,below
7,105,5,Auckland,Auckland/5,Drystock,Ultic,1998,5.64,8.533,0.769,214.062,13.906,,0.64,11.23,13.697,10,30,Ultic/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,13.906,13.697,within,within,within,below,within,above,within,above,within
8,6,6,Auckland,Auckland /6,Drystock,Recent,2010,5.88,3.946,0.369,144.643,35.714,,1.12,3.9,6.4,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,35.714,6.4,within,within,below,within,within,within,within,within,below
9,108,6,Auckland,Auckland /6,Drystock,Recent,1998,5.67,6.552,0.603,150,35.543,,0.92,12.27,12.737,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,35.543,12.737,within,within,within,within,within,within,within,within,within
10,7,7,Auckland,Auckland/7,Dairy,Granular,2010,5.74,8.189,0.733,243.158,87.368,,0.95,4.8,7.1,10,30,Granular/Dairy,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,87.368,7.1,within,within,below,above,within,above,within,above,below
11,8,8,Auckland,Auckland /8,Drystock,Brown,2010,5.5,4.823,0.387,128.319,17.699,,1.13,6.4,9,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,17.699,9,within,within,below,within,within,within,within,within,below
12,126,8,Auckland,Auckland /8,Drystock,Brown,1999,5.52,4.482,0.334,108.491,50,,1.06,6.37,7.83,10,30,Brown/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,50,7.83,within,within,below,above,within,within,within,within,below
13,9,9,Auckland,Auckland/9,Drystock,Recent,2010,6.01,4.667,0.419,114.815,14.815,,1.08,12.3,23,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,14.815,23,within,within,within,below,within,within,within,within,within
14,10,10,Auckland,Auckland /10,Drystock,Recent,2010,5.46,4.253,0.345,96.97,35.354,,0.99,16,27,10,30,Recent/Drystock,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,35.354,27,within,within,within,within,within,within,within,within,within
15,11,11,Auckland,Auckland/11,Drystock,Granular,2010,5.96,9.153,0.816,266.327,19.388,,0.98,3.8,5.8,10,30,Granular/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,19.388,5.8,within,within,below,within,within,above,within,above,below
16,191,11,Auckland,Auckland/11,Drystock,Granular,1999,5.46,7.38,0.597,171,8.5,,1,2.9,5.637,10,30,Granular/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,8.5,5.637,within,within,below,below,within,within,within,within,below
17,12,12,Auckland,Auckland/12,Crop_Hort,Brown,2008,5.89,5.45,0.48,126,37,,1.01,6.1,9.3,10,30,Brown/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,37,9.3,within,within,below,within,within,within,within,within,below
18,322,12,Auckland,Auckland/12,Crop_Hort,Brown,2013,6.05,5.714,0.532,126.242,55.029,,0.943,8.467,10.333,10,30,Brown/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,55.029,10.333,within,within,within,above,within,within,within,within,within
19,13,13,Auckland,Auckland/13,Drystock,Granular,2010,6.04,8.698,0.797,266.279,11.628,,0.86,7.8,10.7,10,30,Granular/Drystock,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,11.628,10.7,within,within,within,below,within,above,within,above,within
