region,SoilOrder,pH,totalC,totalN,AMN,OlsenP_LR,bulkDensity,macroporosity-m05,macroporosity-m10,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS,LandUse
Auckland,Brown,5.89,5.45,0.48,126,37,1.01,6.1,9.3,within,within,below,within,within,within,within,within,below,Crop_Hort
Auckland,Brown,6.05,5.714,0.532,126.242,55.029,0.943,8.467,10.333,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Ultic,4.73,7.22,0.44,133,6.254,0.834,11.333,13.433,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Ultic,4.93,5.6,0.3,65.3,12.8,0.84,7.42,8.34,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Brown,6.3,3.97,0.352,141,31.814,1.181,16.167,22.433,within,within,within,above,within,within,within,within,within,Forestry
Auckland,Brown,5.27,5.342,0.486,78.947,21.974,0.76,34.73,38.597,within,within,above,within,within,within,within,within,above,Forestry
Auckland,Brown,5.69,3.21,0.236,59,24.746,0.948,24.567,31.5,within,within,above,within,within,within,within,within,above,Forestry
Auckland,Brown,4.9,10.966,0.756,89.011,76.484,0.91,17.6,24.903,within,within,within,above,within,above,within,above,within,Forestry
Auckland,Brown,5.53,9.37,0.858,170.312,13.75,0.64,23.4,27.663,within,within,within,within,within,above,within,above,within,Forestry
Auckland,Recent,5.66,1.82,0.063,19,4.816,1.484,29.9,39.433,within,above,above,below,below,below,below,below,above,Forestry
Auckland,Recent,5.18,1.62,0.046,12,15.466,1.519,29.633,37,within,above,above,within,below,below,below,below,above,Forestry
Auckland,Brown,5.32,3,0.177,97,4.018,1.103,6.067,8.2,within,within,within,below,within,within,within,within,within,Forestry
Auckland,Brown,5.08,4.724,0.187,56.412,5,1.045,18.4,19.07,within,within,within,within,within,within,within,within,within,Forestry
Auckland,Organic,6.79,15.26,1.285,165.172,121.766,0.543,9.267,11.467,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Organic,6.51,15.4,1.21,139,52,0.62,5.5,3.47,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Gley,6.29,3.85,0.26,71.9,79,1.25,4.8,7.1,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Gley,5.87,3.407,0.199,114.634,107,1.23,12.9,15.707,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Gley,5.97,3.12,0.18,24.5,57,1.18,9,11.43,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Gley,6.18,2.696,0.159,34.074,119,1.35,4.2,6.433,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Recent,5.84,2.67,0.113,51,4.988,1.299,32.5,39.5,within,within,above,below,within,within,within,within,above,Forestry
Auckland,Ultic,4.48,6.04,0.368,49,42.438,1.101,8.1,9.833,within,within,within,above,within,within,within,within,within,Forestry
Auckland,Granular,6.02,2.168,0.217,12.784,275.755,1.037,23.167,24.367,within,within,within,above,below,within,below,below,within,Crop_Hort
Auckland,Granular,7.17,2.1,0.2,9.375,200,0.96,30.2,31.2,within,within,above,above,below,within,below,below,above,Crop_Hort
Auckland,Granular,6.41,2.03,0.19,13.2,181,1.16,11.9,12.83,within,within,within,above,below,within,below,below,within,Crop_Hort
Auckland,Allophanic,6.31,5.73,0.49,108,150,1.03,5.7,7.97,within,within,below,above,within,within,within,within,below,Crop_Hort
Auckland,Recent,6.2,12.588,0.793,139.521,63.576,0.763,10.6,12.467,within,within,within,above,within,within,within,within,within,Crop_Hort
Auckland,Ultic,6.11,4.98,0.39,150,15,1.01,5.2,8.06,within,within,below,below,within,within,within,within,below,Crop_Hort
Auckland,Ultic,5.99,4.763,0.403,97.778,22.677,0.887,8.7,11.833,within,within,within,within,within,within,within,within,within,Crop_Hort
Auckland,Ultic,4.65,6.77,0.241,42,4.48,1.192,9.767,11.5,within,within,within,below,within,within,within,within,within,Forestry
Auckland,Ultic,4.92,5.24,0.202,31,3.914,1.226,12.333,14.133,within,within,within,below,within,within,within,within,within,Forestry
Auckland,Ultic,4.66,5.34,0.191,38,4.637,1.074,15.133,17.4,within,within,within,below,within,within,within,within,within,Forestry
Auckland,Ultic,5.05,6.23,0.309,69,43.057,1.113,12.2,13.733,within,within,within,above,within,within,within,within,within,Forestry
